StationID,Duration,SensorNumber,SensorType,DateTime,ObsDate,Value,DataFlag,SensorUnits
DTO,D,23,OUTFLOW,2021-03-28T07:00:00Z,2021-03-28T07:00:00Z,7783,,CFS
DTO,D,23,OUTFLOW,2021-03-29T07:00:00Z,2021-03-29T07:00:00Z,7418,,CFS
DTO,D,23,OUTFLOW,2021-03-30T07:00:00Z,2021-03-30T07:00:00Z,7073,,CFS
DTO,D,23,OUTFLOW,2021-03-31T07:00:00Z,2021-03-31T07:00:00Z,7097,,CFS
DTO,D,23,OUTFLOW,2021-04-01T07:00:00Z,2021-04-01T07:00:00Z,7358,,CFS
DTO,D,23,OUTFLOW,2021-04-02T07:00:00Z,2021-04-02T07:00:00Z,7181,,CFS
DTO,D,23,OUTFLOW,2021-04-03T07:00:00Z,2021-04-03T07:00:00Z,7136,,CFS
DTO,D,23,OUTFLOW,2021-04-04T07:00:00Z,2021-04-04T07:00:00Z,7285,,CFS
DTO,D,23,OUTFLOW,2021-04-05T07:00:00Z,2021-04-05T07:00:00Z,7136,,CFS
DTO,D,23,OUTFLOW,2021-04-06T07:00:00Z,2021-04-06T07:00:00Z,7155,,CFS
DTO,D,23,OUTFLOW,2021-04-07T07:00:00Z,2021-04-07T07:00:00Z,7392,,CFS
DTO,D,23,OUTFLOW,2021-04-08T07:00:00Z,2021-04-08T07:00:00Z,6952,,CFS
DTO,D,23,OUTFLOW,2021-04-09T07:00:00Z,2021-04-09T07:00:00Z,7258,,CFS
DTO,D,23,OUTFLOW,2021-04-10T07:00:00Z,2021-04-10T07:00:00Z,7106,,CFS
DTO,D,23,OUTFLOW,2021-04-11T07:00:00Z,2021-04-11T07:00:00Z,7287,,CFS
DTO,D,23,OUTFLOW,2021-04-12T07:00:00Z,2021-04-12T07:00:00Z,7208,,CFS
DTO,D,23,OUTFLOW,2021-04-13T07:00:00Z,2021-04-13T07:00:00Z,7157,,CFS
DTO,D,23,OUTFLOW,2021-04-14T07:00:00Z,2021-04-14T07:00:00Z,7260,,CFS
