YearAdj,Region,SVIndex,YearType,Drought,Temperature,Salinity,Secchi
2012,Suisun Marsh,6.89,Below Normal,D,16.553541666666668,4.749168258311825,40.99583333333333
2012,Suisun Bay,6.89,Below Normal,D,16.145641762452108,7.987333873604998,48.74406130268199
2012,Confluence,6.89,Below Normal,D,16.321909722222223,1.1433381891658074,79.68831699346404
2012,SouthCentral,6.89,Below Normal,D,17.5172792022792,0.21578718627951254,161.75409544159544
2012,North,6.89,Below Normal,D,15.973749999999999,0.07389537205661002,115.10416666666666
2013,Suisun Marsh,5.83,Dry,D,17.376875,5.03191264546376,33.14375
2013,Suisun Bay,5.83,Dry,D,16.90429427759239,8.409082763345454,44.7728772710419
2013,Confluence,5.83,Dry,D,16.973554330065358,1.175689273741363,68.73844814241487
2013,SouthCentral,5.83,Dry,D,17.925260480260476,0.20235712088840632,151.72489316239316
2013,North,5.83,Dry,D,16.885624999999997,0.0735480802890248,120.09027777777777
2014,Suisun Marsh,4.07,Critical,D,17.63179924242424,7.0195846601479275,36.375189393939394
2014,Suisun Bay,4.07,Critical,D,17.064197682904577,11.356346016756662,50.07682904579457
2014,Confluence,4.07,Critical,D,17.164161912833837,2.270001638570463,76.58803828506241
2014,SouthCentral,4.07,Critical,D,18.11796482026745,0.31429002602856326,200.203151198217
2014,North,4.07,Critical,D,16.828125,0.08569522557025183,139.64583333333334
2015,Suisun Marsh,4,Critical,D,18.237280303030303,7.119437991134509,35.57954545454545
2015,Suisun Bay,4,Critical,D,17.924509977650064,12.024985028925778,49.067848020434226
2015,Confluence,4,Critical,D,17.808941721807212,2.196905963524018,59.88046643304796
2015,SouthCentral,4,Critical,D,18.75529861434861,0.30839361903835805,140.83040663040663
2015,North,4,Critical,D,17.964583333333334,0.08122839193245465,158.89583333333334
2016,Suisun Marsh,6.71,Below Normal,D,17.328395833333335,5.459186145773724,37.6625
2016,Suisun Bay,6.71,Below Normal,D,16.765846743295022,8.905577192825453,49.97318007662835
2016,Confluence,6.71,Below Normal,D,16.97155412649556,1.3912240282055066,68.9828197945845
2016,SouthCentral,6.71,Below Normal,D,18.11366452991453,0.19478267046043524,154.0648148148148
2016,North,6.71,Below Normal,D,16.09916666666667,0.07739975170949155,150.67361111111111
2017,Suisun Marsh,14.14,Wet,N,17.236208333333334,2.4978385167878,30.294444444444444
2017,Suisun Bay,14.14,Wet,N,16.624399767378215,3.670885639248237,44.21005646511478
2017,Confluence,14.14,Wet,N,16.18866371920165,0.39314999193777417,74.24739467849224
2017,SouthCentral,14.14,Wet,N,16.755082096266307,0.10666671425429142,119.11894586894587
2017,North,14.14,Wet,N,14.719791666666667,0.064649665038602,NA
2018,Suisun Marsh,7.14,Below Normal,N,17.0619375,4.497358890897249,35.949999999999996
2018,Suisun Bay,7.14,Below Normal,N,16.505841714559388,8.279496378125376,55.0259875022806
2018,Confluence,7.14,Below Normal,N,16.702714483601785,1.0830938617931896,97.13753941380146
2018,SouthCentral,7.14,Below Normal,N,17.74965727620333,0.18128912547445364,176.5099715099715
2018,North,7.14,Below Normal,N,15.606666666666666,0.07363526783906937,NA
2019,Suisun Marsh,10.34,Wet,N,16.867694444444446,2.5263218346890737,31.752083333333335
2019,Suisun Bay,10.34,Wet,N,16.358581019233032,4.578402408834186,45.237408231866794
2019,Confluence,10.34,Wet,N,16.245159300699832,0.4291859909981324,87.64892901294326
2019,SouthCentral,10.34,Wet,N,17.197803924876293,0.12986901862171657,152.09354765604766
2019,North,10.34,Wet,N,14.963958333333332,0.06232073713127419,NA
